epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.941,3.55561,18.6833,1.33867,0,0,0,0,2.06818,8.306,0.9038,0.0002,0.0002,0.0002
2,119.656,2.94354,9.30007,1.04499,0.00066,0.02564,0.00079,0.00024,2.06446,8.17455,0.97791,0.000398887,0.000398887,0.000398887
3,176.859,2.96951,8.76866,1.12764,0.00074,0.02564,0.00064,0.00011,2.09371,7.95118,0.97782,0.00058375,0.00058375,0.00058375
4,230.451,2.77231,7.52634,1.11457,0.00038,0.02564,0.00078,8e-05,2.27306,8.01829,1.12065,0.000754588,0.000754588,0.000754588
5,284.015,2.8012,7.03255,1.10147,0.00039,0.04525,0.01857,0.00563,2.54242,7.90534,1.19072,0.0009114,0.0009114,0.0009114
6,336.442,2.9752,7.02748,1.10649,0.00414,0.53822,0.20345,0.0838,2.35624,7.25585,1.06547,0.00104375,0.00104375,0.00104375
7,389.134,2.78531,6.61204,1.06004,0.58626,0.52012,0.51175,0.17508,2.28457,6.3989,1.03702,0.0010025,0.0010025,0.0010025
8,441.752,3.0971,6.96733,1.0007,0.70762,0.2557,0.52735,0.1799,2.33675,5.64428,1.06417,0.00096125,0.00096125,0.00096125
9,495.087,3.05445,6.05333,1.03095,0.52056,0.64181,0.60204,0.31791,1.85731,4.74348,1.02987,0.00092,0.00092,0.00092
10,545.947,2.77479,5.82895,1.05762,0.46604,0.67532,0.62466,0.32151,1.87096,4.37044,0.94448,0.00087875,0.00087875,0.00087875
11,598.4,2.65574,5.09427,0.99854,0.54656,0.62145,0.67313,0.34341,1.8512,3.97142,0.98907,0.0008375,0.0008375,0.0008375
12,650.993,2.88672,5.55595,1.07831,0.52335,0.68496,0.64226,0.2564,2.0483,4.05358,0.95497,0.00079625,0.00079625,0.00079625
13,702.861,2.78802,4.77951,1.12242,0.50069,0.64169,0.61298,0.28901,1.80026,3.60772,0.90998,0.000755,0.000755,0.000755
14,755.236,2.68598,4.69339,1.01585,0.45593,0.65718,0.594,0.24818,2.10771,3.51567,0.9702,0.00071375,0.00071375,0.00071375
15,807.844,2.75961,4.4938,1.04964,0.66815,0.71543,0.6754,0.27651,2.13333,3.44488,1.05097,0.0006725,0.0006725,0.0006725
16,860.997,2.71328,4.37042,0.98293,0.6439,0.72281,0.71319,0.37912,1.84416,3.10029,1.00871,0.00063125,0.00063125,0.00063125
17,913.597,2.46284,3.66791,0.97547,0.66791,0.74621,0.74043,0.40517,1.77177,3.04049,0.9329,0.00059,0.00059,0.00059
18,974.532,2.48757,3.7996,1.01063,0.61125,0.74909,0.76437,0.40701,1.74971,3.03765,0.98139,0.00054875,0.00054875,0.00054875
19,1025.87,2.52165,4.021,0.96193,0.72395,0.72089,0.74549,0.46958,1.57988,2.81367,0.9881,0.0005075,0.0005075,0.0005075
20,1077.16,2.48202,3.90872,1.02748,0.68667,0.73032,0.747,0.45081,1.69535,2.82913,0.98475,0.00046625,0.00046625,0.00046625
21,1128.59,2.4753,3.91679,1.01292,0.66615,0.66929,0.75471,0.42516,1.68595,2.80434,0.9734,0.000425,0.000425,0.000425
22,1179.41,2.39424,3.69881,0.98444,0.68483,0.79901,0.79389,0.44299,1.66908,2.75198,0.93598,0.00038375,0.00038375,0.00038375
23,1229.97,2.28759,3.49315,0.96695,0.76415,0.74539,0.80159,0.50893,1.52573,2.61302,0.92571,0.0003425,0.0003425,0.0003425
24,1279.98,2.43044,3.50976,0.99235,0.77783,0.72867,0.81135,0.45657,1.69274,2.5763,0.94203,0.00030125,0.00030125,0.00030125
25,1330.32,2.33955,3.30439,0.97686,0.76101,0.74783,0.80214,0.45183,1.64681,2.48466,0.91217,0.00026,0.00026,0.00026
26,1386.88,2.29501,3.23962,0.97957,0.7098,0.7644,0.81359,0.48749,1.62153,2.43332,0.9897,0.00021875,0.00021875,0.00021875
27,1441.89,2.27698,3.26941,0.94361,0.74064,0.74491,0.794,0.48518,1.58738,2.40871,0.99125,0.0001775,0.0001775,0.0001775
28,1498.48,2.27891,3.2731,0.94783,0.65798,0.76248,0.79389,0.46322,1.67804,2.43511,1.01327,0.00013625,0.00013625,0.00013625
29,1549.81,2.27766,3.17984,0.94096,0.69866,0.76843,0.79445,0.46641,1.69794,2.44382,1.0037,9.5e-05,9.5e-05,9.5e-05
30,1608.75,2.11136,3.07904,0.94023,0.7362,0.75227,0.81535,0.49705,1.62624,2.38407,0.98798,5.375e-05,5.375e-05,5.375e-05
